iter	RMSE
0	0.3909021029
1	0.3806734886
2	0.3715790256
3	0.3619579204
4	0.3534282222
5	0.3447784523
6	0.3369101321
7	0.3290593422
8	0.321670258
9	0.314372756
10	0.3075698161
11	0.3008716089
12	0.2941883027
13	0.2882951763
14	0.2826327882
15	0.2773660852
16	0.2725730099
17	0.267001505
18	0.2612638032
19	0.2560812323
20	0.2508691178
21	0.2464896273
22	0.2419622852
23	0.2375127027
24	0.233716615
25	0.2293584545
26	0.2255131421
27	0.2214911578
28	0.2178159593
29	0.2139976795
30	0.2109903058
31	0.2075410746
32	0.2045347943
33	0.2015142003
34	0.1984042635
35	0.1960036506
36	0.1931253789
37	0.1903561362
38	0.187977644
39	0.1855899344
40	0.1829147327
41	0.180746688
42	0.1784083533
43	0.1760985324
44	0.1739562094
45	0.1719852802
46	0.1700706922
47	0.1683898672
48	0.166644663
49	0.1649349186
50	0.1631064225
51	0.1615849967
52	0.1598148223
53	0.1583595448
54	0.1569243433
55	0.1556370024
56	0.1541046042
57	0.1529663918
58	0.1516662667
59	0.1503798282
60	0.149190077
61	0.1479909539
62	0.1469798943
63	0.14590111
64	0.1448066504
65	0.1438568118
66	0.1428626952
67	0.141843423
68	0.1409077763
69	0.1400001462
70	0.1391596491
71	0.1383877812
72	0.1376338107
73	0.1369610582
74	0.136314599
75	0.1355994582
76	0.1349316477
77	0.1339979574
78	0.1333332992
79	0.1326821895
80	85	585	5.46451486	586	5.45452887	587	5.44485088	88	5.43511768989	5.4253045790	5.418380259
79
86	0.1284013753
87	0.1277799413
88	0.1272308273
89	0.1266138373
90	0.1259951977
91	0.1255619045
92	0.1249666656
93	0.1243474827
94	0.1237844164
95	0.1233665861
96	0.1229229203
97	0.1224894152
98	0.1221127165
99	0.1215703167
100	0.1210442822
101	0.1207311798
102	0.1202267609
103	0.1195795637
104	0.1191500495
105	0.118808037
106	0.1183012283
107	0.1178097932
108	0.1174026
109	0.1170228002
110	0.1166368767
111	0.1161156811
112	0.1156874131
113	0.1152831392
114	0.1148442449
115	0.1144942972
